glu 9.0.3-3
glycin 2.1.1-1
glycin-gtk4 2.1.1-1
gmp 6.3.0-3
gnome-autoar 0.4.5-1
gnome-desktop-4 1:44.5-1
gnome-desktop-common 1:44.5-1
gnome-text-editor 50.1-1
gnome-themes-extra 1:3.28-1
gnu-free-fonts 20120503-9
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnutls 3.8.13-2
go 2:1.26.4-1
gobject-introspection 1.86.0-2
gobject-introspection-runtime 1.86.0-2
google-cloud-cli 572.0.0-1
google-glog 0.7.1-2
gperftools 2.18.1-1
gpgme 2.1.0-1
gpgmepp 2.1.0-1
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.27.5-1
granite7 7.8.1-1
graphene 1.10.8-2
graphicsmagick 1.3.47-1
graphite 1:1.3.15-1
graphviz 14.1.5-1
grep 3.12-2
grim 1.5.0-2
grimblast-git r165.bf1a7cd-1
groff 1.24.1-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsfonts 20200910-6
gsm 1.0.24-1
gssdp 1.6.5-1
gst-libav 1.28.4-1
gst-plugins-bad-libs 1.28.4-1
gst-plugins-base-libs 1.28.4-1
gst-plugins-ugly 1.28.4-1
gstreamer 1.28.4-1
gtest 1.17.0-2
gtk-doc 1.36.1-1
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.4-1
gtk2 2.24.33-5
gtk3 1:3.24.52-1
gtk4 1:4.22.4-1
gtk4-layer-shell 1.3.0-1
gtkmm 1:2.24.5-5
gtkmm-4.0 4.22.0-2
gtkmm3 3.24.11-1
gtksourceview5 5.20.0-1
gts 0.7.6.121130-5
guile 3.0.11-1
gum 0.17.0-1
gumbo-parser 0.13.2-1
gupnp 1:1.6.10-1
gupnp-dlna 0.12.0-5
gupnp-igd 1.6.0-2
gvfs 1.60.0-2
gvfs-mtp 1.60.0-2
gweather-locations 2026.2-1
gzip 1.14-2
harfbuzz 14.2.1-1
harfbuzz-icu 14.2.1-1
hdf5 2.1.1-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
htop 3.5.1-1
hunspell 1.7.3-1
hwdata 0.408-1
hwloc 2.14.0-1
hyphen 2.8.9-1
hyprcursor 0.1.13-6
hyprgraphics 0.5.1-2
hypridle 0.1.7-9
hyprland 0.55.4-1
hyprland-guiutils 0.2.1-6
hyprland-qt-support 0.1.0-12
hyprlang 0.6.8-4
hyprlauncher 0.1.6-4
hyprlock 0.9.5-4
hyprpaper 0.8.4-2
hyprpicker 0.4.7-1
hyprpolkitagent 0.1.3-7
hyprshot 1.3.0-4
hyprsunset 0.3.3-7
hyprtoolkit 0.5.4-2
hyprutils 0.13.1-1
hyprwayland-scanner 0.4.6-1
hyprwire 0.3.1-2
iana-etc 20260530-1
icu 78.3-1
ijs 0.35-7
imagemagick 7.1.2.25-1
imake 1.0.11-1
imath 3.2.2-6
impala 0.7.4-1
iniparser 4.2.6-2
inotify-tools 4.25.9.0-1
intel-gmmlib 22.10.0-1
intel-media-driver 26.1.5-1
intel-oneapi-common 2026.0.0_235-1
intel-oneapi-compiler-dpcpp-cpp-runtime-libs 2026.0.0_947-2
intel-oneapi-compiler-shared-runtime-libs 2026.0.0_947-1
intel-oneapi-openmp 2026.0.0_947-1
intel-oneapi-tbb 2023.0.0_724-1
intel-oneapi-tcm 1.5.0_489-1
intel-oneapi-umf 1.1.0_340-2
intltool 0.51.0-6
ipcalc 0.51-2
ipp-usb 0.9.34-1
iproute2 7.0.0-1
iptables 1:1.8.13-1
iputils 20250605-1
iso-codes 4.20.1-1
iwd 3.12-1
jansson 2.15.0-1
jasper 4.2.9-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-2
jbigkit 2.1-8
jemalloc 1:5.3.1-2
jq 1.8.1-3
jre-openjdk 26.0.1.u8-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
karchive 6.27.0-1
kbd 2.10.0-1
kbookmarks 6.27.0-1
kcmutils 6.27.0-1
kcodecs 6.27.0-1
kcolorscheme 6.27.0-1
kcompletion 6.27.0-1
kconfig 6.27.0-1
kconfigwidgets 6.27.0-1
kcoreaddons 6.27.0-1
kcrash 6.27.0-1
kdbusaddons 6.27.0-1
kdecoration 6.6.5-1
kdnssd 6.27.0-1
kdsoap 2.3.0-1
kdsoap-ws-discovery-client 0.4.0-3
keepassxc 2.7.12-3
keyutils 1.6.3-4
kfilemetadata 6.27.0-1
kglobalaccel 6.27.0-1
kguiaddons 6.27.0-1
ki18n 6.27.0-1
kiconthemes 6.27.0-1
kidletime 6.27.0-1
kimageformats 6.27.0-1
kio 6.27.0-1
kio-extras 26.04.2-1
kirigami 6.27.0-1
kitemviews 6.27.0-1
kitty 0.47.1-1
kitty-shell-integration 0.47.1-1
kitty-terminfo 0.47.1-1
kjobwidgets 6.27.0-1
kmod 34.2-1
knewstuff 6.27.0-1
knotifications 6.27.0-1
komikku 50.6.0-1
kotlin 2.4.0-1
kpackage 6.27.0-1
kparts 6.27.0-1
krb5 1.22.2-1
kservice 6.27.0-1
ktextwidgets 6.27.0-1
kuserfeedback 6.27.0-1
kwallet 6.27.0-1
kwidgetsaddons 6.27.0-1
kwindowsystem 6.27.0-1
kxmlgui 6.27.0-1
l-smash 2.14.5-4
lame 3.101.r6531-1
lapack 3.12.1-2
lcms2 2.19.1-1
ldb 2:4.24.3-1
leancrypto 1.7.2-1
lensfun 1:0.3.4-6
leptonica 1.87.0-1
less 1:704-1
level-zero-loader 1.28.2-1
libabw 0.1.4-1
libadwaita 1:1.9.1-1
libaec 1.1.7-1
libaio 0.3.113-4
libappindicator 12.10.1-1
libarchive 3.8.7-1
libasan 16.1.1+r12+g301eb08fa2c5-1
libass 0.17.4-2
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 16.1.1+r12+g301eb08fa2c5-1
libatomic_ops 7.8.2-2
libavc1394 0.5.4-7
libavif 1.4.2-1
libayatana-appindicator 0.5.94-1
libayatana-indicator 0.9.5-1
libb2 0.98.1-3
libb64 1.2.1-5
libblockdev 3.5.0-2
libblockdev-crypto 3.5.0-2
libblockdev-fs 3.5.0-2
libblockdev-loop 3.5.0-2
libblockdev-mdraid 3.5.0-2
libblockdev-nvme 3.5.0-2
libblockdev-part 3.5.0-2
libblockdev-smart 3.5.0-2
libblockdev-swap 3.5.0-2
libbluray 1.4.1-1
libbpf 1.7.0-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libbytesize 2.12-3
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.78-1
libcap-ng 0.9.3-1
libcdio 2.3.0-1
libcdio-paranoia 10.2+2.0.2-2
libcdr 0.1.9-1
libcloudproviders 0.4.0-1
libcmis 0.6.3-1
libcolord 1.4.8-1
libcue 2.3.0-2
libcups 2:2.4.19-1
libcupsfilters 2.1.1-4
libcurl-gnutls 8.20.0-7
libdaemon 0.14-6
libdatachannel 0.24.3-2
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libde265 1.1.1-1
libdecor 0.2.5-1
libdeflate 1.25-1
libdisplay-info 0.3.0-1
libdovi 3.3.2-1
libdrm 2.4.134-1
libdvdnav 7.0.0-1
libdvdread 7.0.1-1
libdwarf 1:2.3.1-1
libe-book 0.1.3-20
libebml 1.4.5-2
libebur128 1.2.6-2
libedit 20260512_3.1-1
libei 1.6.0-1
libelf 0.195-1
libemf 1.0.14-1
libepoxy 1.5.10-3
libepubgen 0.1.1-6
libetonyek 0.1.13-2
libevdev 1.13.6-1
libevent 2.1.12-5
libexif 0.6.26-1
libexttextcat 3.4.8-1
libfdk-aac 2.0.3-2
libffi 3.5.2-1
libfontenc 1.1.9-1
libfpx 1.3.1.10-5
libfreeaptx 0.2.2-1
libfreehand 0.1.3-1
libfyaml 0.9.6-2
libgcc 16.1.1+r12+g301eb08fa2c5-1
libgcrypt 1.12.2-1
libgee 0.20.8-1
libgexiv2 0.14.6-2
libgfortran 16.1.1+r12+g301eb08fa2c5-1
libgirepository 1.86.0-2
libgit2 1:1.9.4-1
libglvnd 1.7.0-3
libgomp 16.1.1+r12+g301eb08fa2c5-1
libgpg-error 1.61-1
libgphoto2 2.5.34-1
libgsf 1.14.58-1
libgudev 238-3
libgusb 0.4.9-2
libgweather-4 4.6.0-1
libgxps 0.3.2-5
libharu 2.4.6-1
libheif 1.23.0-1
libice 1.1.2-1
libidn 1.43-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libieee1284 0.2.11-19
libimagequant 4.4.1-2
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libinih 62-2
libinput 1.31.3-1
libiptcdata 1.0.5-5
libisl 0.27-1
libixion 0.20.0-7
libjpeg-turbo 3.1.4.1-1
libjuice 1.7.2-1
libjxl 0.11.2-2
libkexiv2 26.04.2-1
libksba 1.8.0-1
liblangtag 0.6.8-1
liblc3 1.1.3-2
libldac 2.0.2.3-3
libldap 2.6.13-1
libliftoff 0.5.0-1
liblqr 0.4.3-1
liblsan 16.1.1+r12+g301eb08fa2c5-1
libluv 1.52.1-1
libmakepkg-dropins 20-1
libmalcontent 0.14.0-4
libmanette 0.2.13-2
libmatroska 1.7.1-2
libmaxminddb 1.13.3-1
libmd 1.2.0-1
libmm-glib 1.24.2-1
libmng 2.0.3-4
libmnl 1.0.5-2
